SampleID,Year,Crop,H2O,Protein,PMN,NO3,POXC,DOC,DON,MBC,MBN,N,SOC,pH,EC,Site,AG,BG,BX,CBH,LAP,NAG,PHOS,SUL,C_enzymes,N_enzymes,all_enzymes,AMF,Fungi,Bacteria,Total_Micro,F_to_B,AMF_relabun
H11_2022,Year 1,Kernza,0.054199766,2.329056,24.02847914,0.501370196,381.6672,82.08213229,1.800529375,370.8185648,18.47984674,0.12761378,1.08,7.44,76.7,Wyoming,77.05931151,198.4866422,73.27729481,37.87887124,374.8775453,12.31983491,143.7326691,12.3316654,80.71991884,67.95902787,65.70891568,1.736901743,8.833621822,22.16888212,39.28846065,0.39846943,0.044208954
H12_2022,Year 1,Kernza,0.056695992,2.789512,23.43636681,0.528806051,358.6848,93.63482879,2.32855451,339.8821801,18.23619223,0.1269605,1.2,7.97,47.78,Wyoming,26.22603039,155.2794415,51.87101718,24.02941827,319.4096622,13.01678356,80.46511473,11.44081118,47.46556289,64.48012438,45.81986877,1.759269843,10.72523198,25.0779521,45.88710588,0.42767575,0.038339089
H13_2022,Year 1,Kernza,0.053997923,2.625928,13.02881664,1.020538566,325.8528,186.9406255,3.495703933,274.3795393,6.649205366,0.1264868,1.11,8,43.52,Wyoming,23.53903946,117.19776,35.18910403,12.96362558,290.4110206,7.15118685,112.3623223,7.815644752,33.49351167,45.57173984,35.08346132,1.694534976,9.470103925,25.16198647,43.49289472,0.376365512,0.038961191
H14_2022,Year 1,Kernza,0.088803089,3.230824,43.01245067,1.101511479,437.4816,126.9329993,3.366338702,611.3970202,29.8277568,0.14702733,1.41,8.05,24.28,Wyoming,45.40975872,240.5579865,81.49779243,36.54494452,298.931216,30.70784859,55.0516905,12.453457,75.52409529,95.80988738,61.50393764,2.133838249,11.85092015,29.6930164,52.61670155,0.399114727,0.04055439
H15_2022,Year 1,Kernza,0.079960513,2.883784,23.79621295,0.875964014,352.1184,73.4799044,2.785758084,181.5031663,7.613435702,0.13897338,1.38,7.86,14.78,Wyoming,31.71078588,185.7597736,51.4075619,21.42191022,203.1478279,17.8333298,43.97112876,10.52685097,50.46740452,60.1897185,42.61567034,1.56439559,8.310796592,22.61233394,40.21830875,0.367533781,0.038897598
H16_2022,Year 1,Kernza,0.086353945,2.826112,22.56315599,0.831661426,279.888,143.4711553,3.809869671,253.9594469,14.48857586,0.12337912,0.92,8.07,10.28,Wyoming,14.39545987,72.15323895,22.13195654,9.528758357,250.2908472,4.591257059,97.48718851,5.263767666,21.6338779,33.89910941,24.48470024,2.304814078,9.102183718,27.04629625,46.00152857,0.336540857,0.050102989
H17_2022,Year 1,Kernza,0.076011846,2.34428,18.25718157,0.487022556,332.4192,86.83803157,3.340879237,514.9282054,20.60473242,0.12609516,1.03,8.13,37.38,Wyoming,40.86903549,149.7685073,56.76729841,20.7524433,338.978069,9.607510545,148.8689978,11.52139776,51.81978276,57.0678138,50.19197468,2.516063598,10.82865426,26.61750608,45.66471185,0.406824525,0.055098642
H18_2022,Year 1,Kernza,0.06984127,2.200832,24.14969645,0.786116046,286.4544,126.3975208,2.654722923,417.5551258,19.69808023,0.11746647,0.98,7.98,34.14,Wyoming,22.65133984,100.3121794,34.82732612,11.81050187,267.4425332,7.090573165,118.7329531,7.182609611,31.09274119,43.54676623,33.29853869,3.045107551,13.87888002,36.55908785,63.23714874,0.379628728,0.048153777
H21_2022,Year 1,Wheat,0.104908566,2.3884,21.4711141,0.213966153,352.1184,63.41039776,1.321495716,937.1491081,39.28939333,0.12602003,0.95,7.93,199.71,Wyoming,44.80379556,156.9626131,65.55185281,39.75075492,370.9919176,17.33917197,140.1273977,10.39509543,65.42750282,80.20406884,60.16559485,2.537784625,12.05709905,25.93120216,48.40708606,0.464964909,0.052425891
H22_2022,Year 1,Wheat,0.068383659,2.396352,24.46784531,0.628126228,319.2864,80.41487887,2.144952923,838.3740346,36.43077596,0.11642576,0.9,7.94,41.97,Wyoming,49.80660179,191.5479899,53.42721266,24.77804795,274.8493734,9.867985571,148.642873,7.942451754,59.61403651,52.07887912,50.21714363,2.630616023,13.99730463,27.15715887,51.76922496,0.515418594,0.050814283
H23_2022,Year 1,Wheat,0.046328671,2.65544,16.24104782,0.416848257,325.8528,49.11783898,0.880065028,167.6760404,8.752425634,0.11811871,1.03,7.79,39.19,Wyoming,49.26565067,204.0478881,83.18650903,29.29440431,356.2515266,15.75545195,136.0949235,10.57365378,70.35232822,74.91931533,61.24153444,2.799802412,13.90937854,31.17603016,56.45890574,0.446156181,0.049590093
H24_2022,Year 1,Wheat,0.075949367,2.945576,61.48222945,2.218114795,312.72,290.5010214,7.508942724,,12.6162614,0.12150657,0.78,7.76,218.01,Wyoming,65.94507398,200.6192065,75.51980996,45.36416209,344.6428022,17.06518238,160.5637962,6.953284595,82.05067582,76.69023586,64.44745972,4.008607642,20.85758885,39.03208168,76.20394222,0.534370394,0.052603678
H25_2022,Year 1,Wheat,0.07165109,3.142352,50.55226836,1.205957759,398.0832,212.5649575,8.171166258,609.3474776,30.11073238,0.12312834,1.08,7.66,49.29,Wyoming,61.86701986,237.1775284,87.9420742,44.42623476,449.3156118,20.50073058,164.679983,9.272100749,87.01462179,95.97550887,72.99844244,2.730376893,14.45623156,30.6099809,56.34662054,0.472271825,0.048456799
H26_2022,Year 1,Wheat,0.08011583,2.97172,37.23366763,0.548802865,384.9504,300.2588675,6.49743392,325.6883669,29.76311834,0.12949637,1.08,7.73,75.6,Wyoming,57.95623966,193.6855102,83.18737359,39.56378118,329.2635515,18.47595291,149.4027162,7.210300183,77.96292668,77.99652475,62.80610486,3.123838725,16.70651617,35.3265986,65.50574445,0.47291607,0.047688012
H27_2022,Year 1,Wheat,0.067831449,2.840808,49.32651244,0.816495543,450.6144,178.254116,5.354146058,211.8925853,15.47657047,0.1503894,1.43,7.61,213.11,Wyoming,69.31926466,267.4111263,97.83190569,52.51507063,455.7685934,27.40358778,102.583795,15.53093254,98.78692609,111.7573025,81.22753059,3.433837583,20.16722678,46.28150392,83.89541985,0.435751328,0.040929977
H28_2022,Year 1,Wheat,0.062937063,2.470272,33.70038451,0.950824383,398.0832,116.450477,4.726292911,881.7672195,39.01214408,0.11684806,1.04,7.71,21.19,Wyoming,54.55752473,215.4066579,78.56846301,44.47939875,306.2995231,16.78475928,149.6754255,12.11717472,80.05348381,71.70190906,66.51074032,3.001859037,17.11230535,39.41758,70.99121309,0.434128766,0.042284938
H31_2022,Year 1,CRP IWG,0.057526366,2.753068,36.80151886,1.274397926,437.4816,70.01082882,2.058850642,325.5293642,18.76989171,0.12644804,1.24,7.61,36.59,Wyoming,43.43846778,289.8732076,75.09245139,33.8222634,392.9390259,16.74917164,82.77366005,17.87412733,75.20043987,81.12584785,64.81337374,2.407370305,12.06227007,23.55974373,46.28428103,0.511986472,0.052012697
H32_2022,Year 1,CRP IWG,0.080786616,3.157616,39.5198045,2.540908676,447.3312,127.3858257,4.991416764,333.7651355,17.59182894,0.13044084,1.35,7.66,30.57,Wyoming,54.531038,242.9074161,75.94409988,39.77986949,304.7629682,27.58574581,102.4002393,19.26294665,79.53540245,91.6903145,71.2424865,3.759410491,16.22915168,33.3439484,64.46720647,0.486719554,0.058315083
H33_2022,Year 1,CRP IWG,0.073170732,3.876968,33.94937791,1.768437519,568.8096,128.7336714,4.933511678,824.6352853,44.24183312,0.15993476,1.66,7.62,36.92,Wyoming,73.54037231,314.7721787,153.8005503,62.08209761,371.3437184,45.81050926,75.46051649,17.32424586,121.9302906,130.4279297,91.50508287,5.970784361,25.00011788,51.5939291,97.39814161,0.484555418,0.061302857
H34_2022,Year 1,CRP IWG,0.071296296,3.206952,40.09601207,2.85267562,352.1184,132.4820279,2.822498556,,3.386187957,0.14753718,1.45,7.86,35.98,Wyoming,63.84532485,220.801038,77.0644379,60.30431937,445.2500801,17.20814856,137.6500783,13.11328874,89.96698401,87.53244841,74.07042914,5.340479925,22.98413072,53.82870417,96.44243058,0.426986513,0.055374796
H35_2022,Year 1,CRP IWG,0.077083333,3.12152,54.27095937,2.61425511,533.3784,83.52499848,2.734112827,366.7595885,22.45133546,0.16948106,1.59,7.81,38.16,Wyoming,128.2781689,475.7988759,165.4683761,88.70938158,536.9376048,58.49414973,270.1271402,35.78292987,173.0075994,177.2222013,151.1185008,4.566540554,20.58695872,42.35386818,82.75467256,0.486070331,0.055181664
H36_2022,Year 1,CRP IWG,0.081716037,3.292576,41.18140418,4.247684733,483.4464,70.78104334,2.671017238,750.4750517,36.78620159,0.14875058,1.54,7.65,44.09,Wyoming,62.37745061,396.9428605,87.2122682,75.48379749,295.2768353,42.54888054,87.19426805,17.74293678,112.9917499,112.0879065,86.61682035,5.092116903,25.32552725,42.96166039,87.9131264,0.589491352,0.057922146
H37_2022,Year 1,CRP IWG,0.083333333,3.577176,39.4508402,2.009225687,568.8096,67.77381131,4.952647429,329.2376048,12.27512405,0.16739374,1.73,7.7,35.68,Wyoming,104.5637121,637.0413558,209.0946328,229.1198353,327.5415669,64.19516808,119.5799812,41.44677473,237.6777614,145.0054687,154.9651433,7.03440557,29.31961986,60.59802966,115.4090993,0.483837841,0.060951915
H38_2022,Year 1,CRP IWG,0.068762279,3.467576,49.08024125,1.862947185,516.2784,39.57961747,1.629964356,200.4842426,12.09500109,0.15003782,1.66,7.51,43.17,Wyoming,82.48206603,425.4965776,129.8879214,132.6514019,263.1318676,67.54317262,93.71329973,19.14308508,156.8137185,133.3145197,108.5520513,8.058005717,43.45041072,80.9176421,158.5492618,0.536970796,0.050823357
H11_2023,Year 2,Kernza,0.182755734,3.225676,13.09063511,2.593268457,346.33152,18.09955688,1.556544979,280.5589482,29.14750376,0.1468,1.02301872,,,Wyoming,24.20527313,143.0220891,41.698782,10.36443628,249.9580395,7.366832006,97.61617734,45.99008732,34.97401888,42.91152392,43.30514613,3.62020496,15.66168731,41.74019028,73.56961758,0.375218398,0.049207881
H12_2023,Year 2,Kernza,0.198606272,3.191128,15.28197933,2.149491944,720.50112,30.33754484,0.793972228,109.4098519,18.66970645,0.1414,1.07900112,,,Wyoming,18.71187863,119.9936737,33.12606555,10.58950421,259.8297535,11.04680699,88.61459928,22.4619671,29.79067245,53.57507944,38.16365773,4.763531429,26.92933523,56.798185,107.0458776,0.474123165,0.044499905
